VU1MGIACTHT49M210320170900.wav:  O
B2MGIACTHT49M210320170850.wav:  Il ramarro della zia, il papà o il babbo come dice il piccolo dado, era sul letto. Sotto di lui, accanto al lago, sedeva Gigi, detto Ciccio, cocco della mamma e della nonna. Vicino ad un sasso c'era una rosa rosso vivo e lo sciocco vedendo la volle per la zia. La zia Lulù cercava zanzare per il suo ramarro, ma dato che era giugno o luglio, non ne trovava. Trovò invece una rana che saltando dalla strada finì nel lago con un grande spruzzo. Sai che fifa la zia. Lo schizzo bagnò il suo completo rosso che divenne giallo come un taxi. Passava di lì un signore cosmopolita di nome Sardanapalo Nabugodonosor che si innamorò della zia e la portò con sé in Afghanistan.
VA1MGIACTHT49M210320170855.wav:  A
VO2MGIACTHT49M210320170900.wav:  A
VI1MGIACTHT49M210320170859.wav:  E
D1MGIACTHT49M210320170854.wav:  Pa pa pa pa pa pa pa pa pa
VE1MGIACTHT49M210320170856.wav:  E
B1MGIACTHT49M210320170848.wav:  Il ramarro della zia, il papà o il babbo come dice il piccolo dado, era sul letto. Sotto di lui, accanto al lago, sedeva Gigi, detto Ciccio, cocco della mamma e della nonna. Vicino ad un sasso c'era una rosa rosso, vivo e lo sciocco, vedendo la volle per la zia. La zia Lulu cercava zanzare per il suo ramarro, ma dato che era giugno, o l'olio non so bene, non ne trovava. Trovò invece una rana che saltando dalla strada finì nel lago con un grande spruzzo. Sai che fifa la zia! Lo schizzo bagnò il suo completo rosa che divenne giallo come un taxi. Passava di lì un signore cosmopolita di nome Sardanapalo. Nabucco Donoso che si innamorò della zia e lo portò con sé in Afghanistan.
VA2MGIACTHT49M210320170856.wav:  A
VO1MGIACTHT49M210320170859.wav:  A
VU2MGIACTHT49M210320170901.wav:  O
VE2MGIACTHT49M210320170857.wav:  E
PR1MGIACTHT49M210320170903.wav:  Pipa, buco, topo, dado, casa, gatto, filo, vaso, muro, neve, luna, rete, zero, scia, ciao, giro, sole, uomo, iuta, gnomo, lielo, pozzo, brodo, plagio, treno, classe, grigio, flotta, creta, drago, frate, spesa, stufa, scala, slitta, splende, strada, scrive, spruzzo, sgrido, sfregio, sdraio, sbrigo, prova, calendario, autobiografia, monotono, pericoloso, montagnoso, prestigioso.
FB1MGIACTHT49M210320170904.wav:  Oggi è una bella giornata per sciare. Voglio una maglia di lana color ocra. Il motociclista attraversò una strada stretta di montagna. Patrizia ha pranzato a casa di Fabio. Questo è il tuo cappello. Dopo vieni a casa? La televisione funziona? Non posso aiutarti. Marco non è partito. Il medico non è impegnato.
VI2MGIACTHT49M210320170859.wav:  E
D2MGIACTHT49M210320170855.wav:  da da da da da da da da da
